,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
4732,Manhattan,Chelsea,40.75045,-73.99662,Entire home/apt,93,110,12,0.26,19,329
4733,Manhattan,West Village,40.73316,-74.00632,Entire home/apt,300,30,13,0.24,39,291
4734,Brooklyn,Greenpoint,40.72285,-73.95192,Private room,75,1,3,0.05,3,0
4735,Manhattan,Chelsea,40.74934,-74.00274,Entire home/apt,370,1,8,0.13,1,365
4736,Manhattan,Kips Bay,40.74369,-73.98153,Entire home/apt,425,2,4,0.07,1,0
4737,Brooklyn,South Slope,40.6674,-73.98273,Entire home/apt,200,30,4,0.18,11,282
4738,Manhattan,Midtown,40.75958,-73.96231,Private room,125,2,55,0.89,1,348
4739,Manhattan,Chelsea,40.74646,-73.99678,Entire home/apt,179,10,1,0.03,1,0
4740,Brooklyn,Bushwick,40.69893,-73.91549,Private room,46,2,55,1.24,1,346
4741,Brooklyn,Williamsburg,40.70972,-73.95576,Entire home/apt,150,5,37,0.76,1,86
4742,Brooklyn,Crown Heights,40.66959,-73.95664,Private room,52,4,37,0.6,2,0
4743,Manhattan,Washington Heights,40.83473,-73.93706,Private room,80,1,1,0.67,1,351
4744,Brooklyn,Boerum Hill,40.68687,-73.98472,Entire home/apt,120,2,4,0.08,1,0
4745,Brooklyn,Sheepshead Bay,40.58527,-73.93534,Entire home/apt,300,5,8,0.13,2,363
4746,Brooklyn,Brooklyn Heights,40.69846,-73.99312,Private room,110,2,1,0.02,1,189
4747,Brooklyn,South Slope,40.66691,-73.98507,Entire home/apt,200,1,4,0.07,1,0
4748,Brooklyn,Windsor Terrace,40.65181,-73.97648,Entire home/apt,75,5,9,0.16,1,0
4749,Manhattan,Upper East Side,40.76649,-73.96453,Entire home/apt,200,5,49,0.84,1,25
4750,Manhattan,Chelsea,40.74722,-74.00466,Entire home/apt,300,3,11,0.19,1,0
4751,Manhattan,Harlem,40.81742,-73.95358,Private room,22,10,3,0.05,1,0
4752,Brooklyn,Greenpoint,40.72428,-73.94348,Entire home/apt,129,30,15,0.27,52,157
4753,Manhattan,Lower East Side,40.71866,-73.98592,Entire home/apt,125,7,4,0.07,1,0
4754,Brooklyn,East Flatbush,40.65284,-73.94413,Private room,150,1,0,0.0,1,299
4755,Manhattan,Upper East Side,40.77486,-73.94857,Entire home/apt,185,5,18,0.3,1,31
4756,Brooklyn,Williamsburg,40.71626,-73.95795,Entire home/apt,158,4,17,0.28,1,0
4757,Brooklyn,Flatbush,40.65287,-73.96353,Private room,30,1,0,0.0,1,0
4758,Brooklyn,Fort Greene,40.68981,-73.97768,Entire home/apt,316,3,29,0.49,1,6
4759,Brooklyn,Park Slope,40.67978,-73.97458,Entire home/apt,175,3,176,2.88,1,0
4760,Queens,Astoria,40.7743,-73.92579,Entire home/apt,97,3,33,0.65,1,0
4761,Manhattan,Hell's Kitchen,40.75524,-73.99839,Entire home/apt,175,1,1,0.02,1,347
4762,Brooklyn,Williamsburg,40.70586,-73.94135,Shared room,60,1,0,0.0,2,0
4763,Brooklyn,Crown Heights,40.67591,-73.93985,Private room,72,3,6,0.1,1,83
4764,Brooklyn,Bedford-Stuyvesant,40.68753,-73.93656,Entire home/apt,175,5,82,1.41,1,0
4765,Manhattan,Upper West Side,40.78818,-73.97133,Entire home/apt,225,3,0,0.0,1,0
4766,Brooklyn,Flatbush,40.64615,-73.9641,Entire home/apt,85,5,1,0.04,1,0
4767,Manhattan,Lower East Side,40.71307,-73.99025,Entire home/apt,150,1,60,1.0,4,188
4768,Brooklyn,Williamsburg,40.71122,-73.94985,Entire home/apt,225,2,257,4.21,2,179
4769,Manhattan,Midtown,40.76423,-73.98187,Private room,400,7,5,0.09,1,0
4770,Brooklyn,Williamsburg,40.70926,-73.94673,Private room,125,4,14,0.3,1,0
4771,Brooklyn,Crown Heights,40.66911,-73.94824,Entire home/apt,200,3,153,2.64,1,260
4772,Manhattan,Washington Heights,40.85304,-73.93555,Entire home/apt,88,2,0,0.0,1,0
4773,Brooklyn,Williamsburg,40.70935,-73.94614,Private room,250,1,0,0.0,1,0
4774,Manhattan,Hell's Kitchen,40.76125,-73.99642,Entire home/apt,300,1,0,0.0,1,0
4775,Queens,Ridgewood,40.70026,-73.90721,Entire home/apt,89,10,10,0.18,1,222
4776,Manhattan,Kips Bay,40.73873,-73.981,Entire home/apt,165,2,25,0.41,1,0
4777,Manhattan,Financial District,40.70885,-74.002,Private room,84,15,0,0.0,2,0
4778,Brooklyn,Williamsburg,40.71649,-73.96166,Entire home/apt,285,1,89,1.47,2,110
4779,Brooklyn,Windsor Terrace,40.64846,-73.97338,Entire home/apt,150,4,26,0.44,1,0
4780,Brooklyn,Crown Heights,40.66955,-73.95027,Private room,70,2,10,0.16,2,68
4781,Manhattan,Upper East Side,40.78193,-73.94884,Entire home/apt,300,30,3,0.05,9,365
4782,Brooklyn,Brooklyn Heights,40.691,-73.99467,Entire home/apt,220,5,3,0.13,1,186
4783,Manhattan,Harlem,40.82491,-73.94774,Entire home/apt,149,31,0,0.0,4,77
4784,Manhattan,West Village,40.73817,-74.00274,Entire home/apt,249,3,6,0.1,1,0
4785,Brooklyn,Crown Heights,40.67321,-73.93093,Entire home/apt,90,7,0,0.0,1,0
4786,Manhattan,Washington Heights,40.83367,-73.94298,Private room,69,3,18,0.29,4,270
4787,Brooklyn,Greenpoint,40.71959,-73.95153,Entire home/apt,120,30,77,1.3,1,3
4788,Manhattan,East Harlem,40.80174,-73.93925,Private room,69,2,60,1.05,2,271
4789,Manhattan,Harlem,40.83058,-73.9495,Private room,54,5,21,0.34,4,187
4790,Manhattan,Washington Heights,40.83132,-73.94101,Private room,50,5,24,0.39,4,177
4791,Manhattan,Washington Heights,40.83328,-73.94511,Private room,51,6,20,0.33,4,258
4792,Manhattan,Hell's Kitchen,40.76496,-73.99073,Private room,99,3,10,0.58,1,0
4793,Manhattan,Upper West Side,40.7939,-73.97485,Entire home/apt,290,7,1,0.03,1,0
4794,Brooklyn,Williamsburg,40.71852,-73.94165,Entire home/apt,240,365,0,0.0,1,363
4795,Bronx,Allerton,40.86677,-73.85938,Private room,49,2,114,1.87,4,240
4796,Brooklyn,Boerum Hill,40.68572,-73.98602,Entire home/apt,115,3,6,0.1,1,0
4797,Brooklyn,Crown Heights,40.67132,-73.9325,Private room,78,21,60,0.99,1,0
4798,Brooklyn,Bushwick,40.69195,-73.92068,Entire home/apt,125,7,25,0.41,1,270
4799,Manhattan,East Harlem,40.79191,-73.94433,Entire home/apt,135,3,225,3.69,2,13
4800,Manhattan,Battery Park City,40.71062,-74.01537,Private room,110,1,0,0.0,1,0
4801,Manhattan,Financial District,40.70765,-74.00761,Entire home/apt,205,2,8,0.16,1,0
4802,Manhattan,Harlem,40.82967,-73.94428,Entire home/apt,95,30,36,0.61,1,245
4803,Brooklyn,Bushwick,40.69502,-73.90645,Private room,55,3,225,3.7,1,15
4804,Brooklyn,Brownsville,40.66682,-73.92303,Private room,47,2,118,1.99,1,310
4805,Manhattan,Washington Heights,40.85083,-73.9287,Private room,39,4,48,0.82,2,12
4806,Manhattan,Chelsea,40.7476,-73.99195,Entire home/apt,349,5,19,0.45,1,358
4807,Brooklyn,Williamsburg,40.71082,-73.95186,Entire home/apt,250,1,7,0.12,1,170
4808,Manhattan,East Village,40.73165,-73.98715,Entire home/apt,290,7,90,1.53,1,41
4809,Brooklyn,Vinegar Hill,40.7044,-73.98153,Private room,85,1,83,1.51,3,21
4810,Brooklyn,Bushwick,40.69349,-73.92211,Entire home/apt,170,2,1,0.02,1,0
4811,Manhattan,Lower East Side,40.72012,-73.99092,Entire home/apt,146,11,50,0.82,1,0
4812,Queens,Astoria,40.77056,-73.92159,Entire home/apt,99,2,7,0.12,1,0
4813,Brooklyn,Prospect Heights,40.68148,-73.96674,Entire home/apt,150,3,25,0.42,1,18
4814,Brooklyn,Williamsburg,40.71122,-73.94893,Entire home/apt,240,2,87,1.46,1,77
4815,Brooklyn,Williamsburg,40.7117,-73.96321,Entire home/apt,500,2,48,0.8,1,365
4816,Queens,Sunnyside,40.7468,-73.92218,Private room,48,2,33,0.92,1,113
4817,Brooklyn,Williamsburg,40.70791,-73.93396,Entire home/apt,129,1,21,0.36,1,0
4818,Manhattan,Hell's Kitchen,40.76477,-73.98542,Entire home/apt,750,3,16,0.27,1,365
4819,Manhattan,SoHo,40.72511,-74.00016,Entire home/apt,180,5,9,0.15,1,87
4820,Queens,Long Island City,40.76844,-73.93819,Private room,70,3,1,0.09,1,342
4821,Manhattan,Upper East Side,40.77565,-73.95086,Entire home/apt,150,2,0,0.0,1,0
4822,Brooklyn,Park Slope,40.66891,-73.97987,Entire home/apt,240,1,1,0.05,1,0
4823,Brooklyn,Park Slope,40.67505,-73.97795,Entire home/apt,100,5,10,0.17,1,0
4824,Manhattan,East Village,40.73005,-73.98525,Entire home/apt,122,30,7,0.12,1,339
4825,Manhattan,Upper East Side,40.76349,-73.95969,Entire home/apt,400,3,9,0.36,2,0
4826,Bronx,Allerton,40.86689,-73.85776,Private room,47,2,75,1.27,4,172
4827,Brooklyn,Prospect Heights,40.67998,-73.96743,Entire home/apt,140,3,12,0.2,1,4
4828,Bronx,Mott Haven,40.81055,-73.92482,Private room,55,1,231,3.95,2,16
4829,Brooklyn,Crown Heights,40.67183,-73.95491,Entire home/apt,110,4,3,0.05,1,0
4830,Brooklyn,Bedford-Stuyvesant,40.68571,-73.95792,Entire home/apt,175,3,1,0.02,2,365
4831,Manhattan,Civic Center,40.71663,-74.00231,Entire home/apt,80,7,6,0.18,1,0
4832,Manhattan,Midtown,40.75812,-73.96171,Entire home/apt,150,2,4,0.07,1,0
4833,Manhattan,Upper West Side,40.79037,-73.97195,Entire home/apt,200,4,4,0.07,1,0
4834,Brooklyn,Sunset Park,40.66201,-73.99719,Private room,50,10,1,0.03,2,0
4835,Manhattan,Upper East Side,40.77343,-73.95979,Private room,99,1,21,0.47,2,82
4836,Manhattan,Harlem,40.82186,-73.95672,Private room,60,7,11,0.18,2,0
4837,Manhattan,Greenwich Village,40.73232,-74.0002,Entire home/apt,225,1,39,2.73,1,49
4838,Manhattan,Washington Heights,40.85529,-73.9398,Entire home/apt,175,3,5,0.08,1,0
4839,Brooklyn,Williamsburg,40.71409,-73.93979,Private room,60,7,16,0.26,1,313
4840,Manhattan,Upper East Side,40.78284,-73.94825,Entire home/apt,255,2,1,0.02,1,341
4841,Brooklyn,Williamsburg,40.71266,-73.94829,Private room,75,15,4,0.07,2,0
4842,Brooklyn,Gowanus,40.68094,-73.98205,Entire home/apt,190,3,2,0.03,1,0
4843,Brooklyn,Park Slope,40.67224,-73.97837,Entire home/apt,495,3,15,0.27,3,198
4844,Brooklyn,Crown Heights,40.67432,-73.95949,Entire home/apt,98,5,11,0.18,1,188
4845,Brooklyn,Williamsburg,40.71936,-73.96181,Private room,150,1,0,0.0,1,364
4846,Brooklyn,Williamsburg,40.71644,-73.95876,Entire home/apt,250,1,0,0.0,1,0
4847,Manhattan,Harlem,40.80493,-73.95677,Entire home/apt,215,1,107,1.8,1,47
4848,Brooklyn,Williamsburg,40.72154,-73.95449,Entire home/apt,200,5,7,0.12,1,0
4849,Brooklyn,Clinton Hill,40.68266,-73.96743,Entire home/apt,100,2,45,0.98,1,0
4850,Brooklyn,Williamsburg,40.71204,-73.95628,Entire home/apt,200,30,0,0.0,1,0
4851,Manhattan,Harlem,40.81525,-73.95279,Entire home/apt,200,6,0,0.0,1,0
4852,Manhattan,Lower East Side,40.7212,-73.98893,Entire home/apt,110,1,1,0.02,1,0
4853,Manhattan,Harlem,40.81511,-73.94315,Entire home/apt,115,3,64,1.05,2,211
4854,Manhattan,East Harlem,40.80278,-73.94001,Private room,75,1,3,0.05,1,0
4855,Manhattan,West Village,40.73476,-74.001,Entire home/apt,289,1,7,0.12,1,0
4856,Manhattan,Upper East Side,40.76717,-73.95532,Private room,95,1,202,3.31,2,263
4857,Manhattan,Lower East Side,40.71812,-73.98619,Entire home/apt,197,1,285,4.83,1,8
4858,Manhattan,Hell's Kitchen,40.76753,-73.98397,Entire home/apt,150,1,0,0.0,1,0
4859,Queens,Ridgewood,40.70706,-73.91437,Entire home/apt,225,7,0,0.0,1,0
4860,Brooklyn,Fort Greene,40.6857,-73.97088,Entire home/apt,375,3,6,0.1,1,252
4861,Staten Island,Eltingville,40.54268,-74.16254,Private room,56,1,145,2.38,1,258
4862,Manhattan,Upper West Side,40.78478,-73.97668,Entire home/apt,225,15,15,0.45,1,266
4863,Manhattan,East Harlem,40.80409,-73.93988,Entire home/apt,70,7,1,0.02,1,0
4864,Manhattan,Upper West Side,40.79098,-73.96745,Entire home/apt,264,30,6,0.1,10,281
4865,Manhattan,Upper West Side,40.79219,-73.96862,Entire home/apt,199,30,11,0.19,10,365
4866,Brooklyn,Park Slope,40.6705,-73.97954,Entire home/apt,149,2,19,0.33,3,28
4867,Brooklyn,Red Hook,40.67851,-74.01591,Entire home/apt,142,1,169,2.8,2,306
4868,Manhattan,East Harlem,40.80422,-73.93841,Entire home/apt,299,4,58,0.97,2,324
4869,Brooklyn,Bedford-Stuyvesant,40.68887,-73.95013,Entire home/apt,50,3,15,0.25,1,0
4870,Brooklyn,Park Slope,40.67926,-73.97711,Entire home/apt,160,1,488,8.14,1,269
4871,Brooklyn,Bedford-Stuyvesant,40.68422,-73.95666,Entire home/apt,127,4,142,2.34,1,2
4872,Brooklyn,Clinton Hill,40.68407,-73.96715,Entire home/apt,110,3,39,0.85,1,0
4873,Manhattan,Lower East Side,40.71922,-73.98472,Private room,69,2,36,0.6,3,5
4874,Brooklyn,Bedford-Stuyvesant,40.68448,-73.95854,Entire home/apt,175,3,4,0.07,2,365
4875,Manhattan,East Village,40.72402,-73.98771,Entire home/apt,179,5,72,1.18,1,0
4876,Brooklyn,Bushwick,40.69642,-73.93361,Entire home/apt,144,1,51,0.84,2,85
4877,Manhattan,Nolita,40.72044,-73.99645,Entire home/apt,175,7,0,0.0,1,0
4878,Manhattan,Harlem,40.8079,-73.94887,Entire home/apt,150,1,1,0.02,1,0
4879,Brooklyn,Williamsburg,40.71023,-73.95688,Entire home/apt,109,2,214,4.58,1,127
4880,Manhattan,Upper East Side,40.77097,-73.94848,Entire home/apt,350,1,0,0.0,1,0
4881,Brooklyn,Bay Ridge,40.63195,-74.0214,Entire home/apt,75,3,4,0.08,1,0
4882,Manhattan,Harlem,40.82639,-73.94186,Entire home/apt,135,3,3,0.05,1,0
4883,Queens,Maspeth,40.74064,-73.89956,Private room,39,30,0,0.0,18,352
4884,Queens,Astoria,40.771,-73.92563,Private room,38,30,8,0.14,18,358
4885,Brooklyn,Bedford-Stuyvesant,40.68885,-73.92354,Entire home/apt,195,2,231,3.82,1,251
4886,Manhattan,Morningside Heights,40.8081,-73.95647,Entire home/apt,146,3,91,1.52,2,223
4887,Brooklyn,Williamsburg,40.71788,-73.96021,Entire home/apt,318,5,19,0.32,1,268
4888,Manhattan,Kips Bay,40.74593,-73.97915,Entire home/apt,184,3,0,0.0,1,0
4889,Brooklyn,Williamsburg,40.7139,-73.9353,Entire home/apt,140,2,133,2.52,2,283
4890,Manhattan,Chelsea,40.74977,-73.99647,Private room,85,1,145,3.48,12,342
4891,Manhattan,Harlem,40.80724,-73.94739,Entire home/apt,170,1,1,0.02,1,0
4892,Queens,Ditmars Steinway,40.77902,-73.90768,Private room,100,2,2,0.03,1,365
4893,Manhattan,Nolita,40.7208,-73.99436,Entire home/apt,350,4,8,0.13,1,196
4894,Manhattan,Upper West Side,40.78273,-73.97319,Entire home/apt,199,3,25,0.42,1,0
4895,Brooklyn,Williamsburg,40.71119,-73.96703,Private room,77,6,17,0.29,1,188
4896,Manhattan,Kips Bay,40.73877,-73.98171,Private room,80,1,2,0.03,1,0
4897,Bronx,Mott Haven,40.81049,-73.9043,Private room,79,2,11,0.19,1,0
4898,Brooklyn,Bushwick,40.69601,-73.92236,Private room,550,3,5,0.1,1,358
4899,Brooklyn,Brooklyn Heights,40.69088,-73.99416,Entire home/apt,155,5,7,0.12,1,17
4900,Manhattan,Greenwich Village,40.73331,-73.9941,Entire home/apt,275,30,12,0.2,1,358
4901,Brooklyn,Williamsburg,40.71187,-73.93593,Entire home/apt,119,2,10,0.18,1,0
4902,Brooklyn,Greenpoint,40.73689,-73.95488,Entire home/apt,85,20,5,0.09,1,0
4903,Manhattan,Harlem,40.82947,-73.95104,Private room,84,1,0,0.0,1,0
4904,Manhattan,Harlem,40.82774,-73.9508,Private room,90,2,127,2.15,1,58
4905,Brooklyn,Crown Heights,40.67619,-73.94389,Entire home/apt,135,5,53,0.9,1,191
4906,Brooklyn,Williamsburg,40.70848,-73.95323,Private room,90,3,230,3.79,1,125
4907,Brooklyn,Williamsburg,40.71784,-73.95521,Entire home/apt,150,1,5,0.08,1,0
4908,Brooklyn,Flatbush,40.64246,-73.95443,Private room,38,3,76,1.3,3,253
4909,Manhattan,Kips Bay,40.74318,-73.97858,Entire home/apt,87,30,4,0.07,52,343
4910,Brooklyn,Kensington,40.6451,-73.97798,Entire home/apt,210,5,3,0.05,1,0
4911,Manhattan,Inwood,40.86176,-73.93082,Private room,80,2,50,0.83,1,6
4912,Brooklyn,Fort Greene,40.68902,-73.96976,Entire home/apt,250,3,20,0.39,1,323
4913,Manhattan,Chelsea,40.74252,-73.9975,Entire home/apt,175,1,18,0.31,1,0
4914,Brooklyn,Clinton Hill,40.6825,-73.95888,Private room,65,1,52,0.87,2,82
4915,Manhattan,East Village,40.73136,-73.98714,Entire home/apt,140,1,48,0.81,1,0
4916,Manhattan,Harlem,40.80297,-73.95132,Entire home/apt,129,4,17,0.28,1,64
4917,Manhattan,East Village,40.73041,-73.9896,Entire home/apt,159,4,45,0.75,1,87
4918,Queens,Fresh Meadows,40.75037,-73.79154,Private room,125,7,0,0.0,1,365
4919,Manhattan,West Village,40.73022,-74.00421,Entire home/apt,249,3,44,0.74,1,332
4920,Brooklyn,Bedford-Stuyvesant,40.68388,-73.94427,Entire home/apt,151,5,52,0.91,5,333
4921,Brooklyn,Bedford-Stuyvesant,40.69334,-73.94608,Private room,79,4,70,1.19,1,308
4922,Brooklyn,Crown Heights,40.66919,-73.95079,Entire home/apt,125,3,10,0.22,1,0
4923,Manhattan,Harlem,40.81792,-73.94236,Entire home/apt,135,5,76,1.28,1,257
4924,Manhattan,Lower East Side,40.72274,-73.99169,Entire home/apt,151,2,5,0.1,2,46
4925,Manhattan,Tribeca,40.72113,-74.00478,Entire home/apt,600,3,73,1.23,1,282
4926,Brooklyn,Bedford-Stuyvesant,40.68476,-73.92975,Entire home/apt,59,1,142,2.63,1,318
4927,Manhattan,Lower East Side,40.72007,-73.99078,Entire home/apt,273,4,85,1.41,1,91
4928,Manhattan,Harlem,40.82435,-73.94507,Private room,70,2,28,0.82,2,80
4929,Manhattan,Harlem,40.82447,-73.95076,Private room,95,1,2,0.03,1,0
4930,Brooklyn,Bedford-Stuyvesant,40.68837,-73.9256,Entire home/apt,399,3,49,0.96,4,269
4931,Brooklyn,Bushwick,40.70399,-73.92813,Private room,96,1,332,5.57,2,355
4932,Manhattan,West Village,40.73622,-74.00147,Shared room,110,1,47,0.81,1,362
4933,Manhattan,Hell's Kitchen,40.76878,-73.98719,Private room,110,1,0,0.0,1,0
4934,Manhattan,Harlem,40.82233,-73.93779,Private room,69,2,249,4.12,2,132
4935,Brooklyn,Prospect-Lefferts Gardens,40.65732,-73.95991,Private room,85,2,67,1.56,3,264
4936,Manhattan,Lower East Side,40.71867,-73.98612,Entire home/apt,150,2,121,2.02,1,0
4937,Manhattan,Kips Bay,40.73788,-73.98048,Entire home/apt,170,1,9,0.15,1,0
4938,Manhattan,Lower East Side,40.72165,-73.98759,Entire home/apt,125,5,12,0.2,1,0
4939,Manhattan,East Village,40.72673,-73.98004,Private room,130,1,191,3.17,1,0
4940,Manhattan,East Village,40.72454,-73.97836,Entire home/apt,145,1,358,5.96,1,3
4941,Brooklyn,Williamsburg,40.71466,-73.96429,Entire home/apt,500,1,138,2.34,1,282
4942,Manhattan,Harlem,40.82193,-73.94499,Private room,95,3,160,2.78,2,0
4943,Brooklyn,Crown Heights,40.67893,-73.96262,Entire home/apt,150,4,9,0.15,2,0
4944,Queens,Forest Hills,40.73334,-73.85433,Entire home/apt,150,1,0,0.0,1,364
4945,Brooklyn,Bedford-Stuyvesant,40.68643,-73.92208,Private room,56,2,180,3.04,1,0
4946,Brooklyn,Greenpoint,40.72472,-73.94135,Private room,60,1,1,0.02,1,0
4947,Brooklyn,East Flatbush,40.66123,-73.93428,Entire home/apt,85,3,37,0.62,1,310
4948,Manhattan,Lower East Side,40.71306,-73.98856,Private room,80,5,3,0.05,1,0
4949,Manhattan,West Village,40.73326,-74.00604,Private room,100,3,16,0.26,1,0
4950,Brooklyn,Bushwick,40.70228,-73.92824,Private room,54,3,2,0.05,2,0
4951,Brooklyn,Bedford-Stuyvesant,40.68537,-73.95693,Entire home/apt,113,4,38,0.63,1,191
4952,Brooklyn,Williamsburg,40.71474,-73.95662,Entire home/apt,200,2,175,2.93,1,303
4953,Manhattan,Harlem,40.81813,-73.9398,Private room,75,5,5,0.1,1,0
4954,Manhattan,Harlem,40.8214,-73.95675,Shared room,200,1,31,0.53,1,365
4955,Brooklyn,South Slope,40.66308,-73.98309,Entire home/apt,110,30,4,0.07,1,220
4956,Brooklyn,Clinton Hill,40.68761,-73.96096,Entire home/apt,500,3,19,0.36,4,365
4957,Manhattan,Midtown,40.75503,-73.96711,Entire home/apt,180,1,0,0.0,1,0
4958,Brooklyn,Williamsburg,40.71707,-73.94708,Entire home/apt,200,1,14,0.24,1,336
4959,Manhattan,Upper East Side,40.76189,-73.96298,Private room,69,60,9,0.16,2,90
4960,Manhattan,West Village,40.73496,-74.00005,Entire home/apt,200,5,64,1.09,1,329
4961,Brooklyn,Prospect-Lefferts Gardens,40.65586,-73.95972,Entire home/apt,140,5,7,0.15,3,14
4962,Brooklyn,Crown Heights,40.66518,-73.95109,Private room,45,4,37,0.64,4,281
4963,Brooklyn,Sunset Park,40.64993,-74.00191,Private room,35,7,0,0.0,1,0
4964,Brooklyn,Greenpoint,40.7322,-73.95882,Private room,80,3,0,0.0,1,0
4965,Brooklyn,South Slope,40.66252,-73.98433,Entire home/apt,150,2,0,0.0,1,0
4966,Manhattan,Washington Heights,40.83365,-73.94059,Entire home/apt,70,180,7,0.12,19,308
4967,Manhattan,Hell's Kitchen,40.76553,-73.9953,Private room,200,2,62,1.06,1,304
4968,Manhattan,Midtown,40.76524,-73.98018,Entire home/apt,308,2,9,0.15,1,0
4969,Manhattan,Nolita,40.71987,-73.9947,Entire home/apt,270,5,8,0.21,1,0
4970,Brooklyn,Clinton Hill,40.68695,-73.9631,Entire home/apt,150,3,0,0.0,1,0
4971,Manhattan,East Village,40.72832,-73.9852,Entire home/apt,365,2,62,1.02,1,28
4972,Brooklyn,Clinton Hill,40.6818,-73.96238,Private room,99,1,83,1.39,1,248
4973,Manhattan,Lower East Side,40.7211,-73.98397,Entire home/apt,175,7,9,0.27,1,255
4974,Manhattan,Gramercy,40.73711,-73.98985,Entire home/apt,220,4,60,1.01,1,4
4975,Manhattan,Washington Heights,40.8362,-73.94033,Private room,80,1,3,0.05,2,314
4976,Brooklyn,Park Slope,40.66617,-73.97593,Entire home/apt,230,2,7,0.15,1,0
4977,Manhattan,Harlem,40.81464,-73.95351,Private room,60,30,2,0.19,1,183
4978,Manhattan,Greenwich Village,40.72802,-73.99644,Private room,120,14,1,0.03,1,0
4979,Brooklyn,Prospect-Lefferts Gardens,40.65698,-73.95761,Private room,45,14,8,0.81,4,31
4980,Manhattan,East Harlem,40.79805,-73.94533,Entire home/apt,100,4,50,0.83,1,12
4981,Manhattan,Harlem,40.80612,-73.95678,Entire home/apt,138,4,0,0.0,1,0
4982,Brooklyn,Sunset Park,40.66273,-73.99111,Entire home/apt,100,4,25,1.11,1,0
4983,Manhattan,Chelsea,40.74767,-73.99393,Entire home/apt,230,1,29,0.49,1,0
4984,Manhattan,Harlem,40.80411,-73.95624,Entire home/apt,225,1,5,0.09,1,0
4985,Brooklyn,Bedford-Stuyvesant,40.68652,-73.95031,Entire home/apt,120,2,60,1.0,1,156
4986,Brooklyn,Crown Heights,40.67089,-73.93323,Private room,99,2,8,0.17,3,365
4987,Manhattan,Washington Heights,40.85153,-73.93815,Entire home/apt,150,3,0,0.0,1,0
4988,Brooklyn,Bushwick,40.68258,-73.90472,Entire home/apt,122,1,157,2.64,1,235
4989,Brooklyn,Bushwick,40.70204,-73.92109,Entire home/apt,150,1,2,0.03,1,0
4990,Manhattan,Harlem,40.809,-73.94263,Entire home/apt,140,2,292,4.95,2,186
4991,Manhattan,Lower East Side,40.72158,-73.98998,Entire home/apt,150,3,18,0.3,1,0
4992,Brooklyn,Windsor Terrace,40.65015,-73.97945,Private room,38,30,77,1.28,11,309
4993,Manhattan,West Village,40.73002,-74.00653,Entire home/apt,200,7,16,1.09,1,50
4994,Brooklyn,Prospect-Lefferts Gardens,40.65598,-73.95512,Private room,50,1,12,0.31,1,0
4995,Manhattan,Harlem,40.82071,-73.93813,Private room,45,6,13,0.23,8,346
4996,Brooklyn,Williamsburg,40.71659,-73.9458,Private room,90,30,1,0.02,1,0
4997,Queens,Astoria,40.76972,-73.9206,Private room,85,2,2,0.04,1,0
4998,Manhattan,East Village,40.7296,-73.99054,Private room,85,1,0,0.0,1,0
4999,Queens,St. Albans,40.69283,-73.75828,Entire home/apt,108,2,81,1.35,1,328
5000,Brooklyn,Prospect Heights,40.6751,-73.96558,Entire home/apt,129,3,15,0.25,1,204
5001,Brooklyn,Fort Greene,40.68744,-73.9747,Entire home/apt,275,2,180,2.99,2,290
5002,Manhattan,Midtown,40.74596,-73.98411,Entire home/apt,148,30,9,0.15,9,329
5003,Manhattan,Gramercy,40.73389,-73.98724,Entire home/apt,250,31,0,0.0,1,365
5004,Manhattan,East Village,40.72974,-73.98372,Entire home/apt,160,2,5,0.08,1,0
5005,Brooklyn,Crown Heights,40.66529,-73.9557,Entire home/apt,130,5,150,2.48,2,309
5006,Brooklyn,Park Slope,40.66884,-73.97575,Private room,180,3,192,3.2,1,60
5007,Manhattan,Washington Heights,40.84943,-73.93146,Private room,50,1,14,0.23,1,0
5008,Manhattan,Washington Heights,40.83473,-73.93982,Private room,145,6,61,1.17,1,257
5009,Manhattan,Chinatown,40.71445,-73.99287,Private room,94,7,17,0.28,1,0
5010,Manhattan,Upper East Side,40.77487,-73.949,Entire home/apt,180,2,24,0.41,1,0
5011,Manhattan,Nolita,40.72061,-73.99472,Private room,80,6,3,0.07,1,0
5012,Brooklyn,Bedford-Stuyvesant,40.68274,-73.91856,Entire home/apt,97,3,15,0.25,1,0
5013,Brooklyn,Bedford-Stuyvesant,40.69576,-73.94082,Entire home/apt,90,2,51,0.86,1,179
5014,Brooklyn,Brownsville,40.66748,-73.92554,Entire home/apt,70,2,56,0.94,1,1
5015,Queens,Astoria,40.75997,-73.90926,Entire home/apt,120,3,29,0.55,1,0
5016,Manhattan,Kips Bay,40.74173,-73.97906,Entire home/apt,120,3,116,1.95,1,261
5017,Manhattan,Financial District,40.7055,-74.00866,Entire home/apt,165,1,0,0.0,1,0
5018,Manhattan,Washington Heights,40.84464,-73.9355,Private room,59,9,26,0.44,3,109
5019,Brooklyn,Flatbush,40.64802,-73.97095,Private room,91,3,33,0.65,1,90
5020,Queens,Bay Terrace,40.77995,-73.78506,Entire home/apt,184,3,146,2.46,1,143
5021,Brooklyn,Bedford-Stuyvesant,40.692,-73.93852,Private room,45,1,13,0.26,1,0
5022,Manhattan,Gramercy,40.73755,-73.98595,Private room,150,4,147,2.44,1,344
